Leading.proteins.Positions.within.proteins;log2 N2_d15_01;log2 N2_d15_02;log2 N2_d15_03;log2 N2_d15_04;log2 N2_d5_01;log2 N2_d5_02;log2  N2_d5_03;log2 N2_d5_04; -Log Student's T-test p-value N2_d15_N2_d5; Student's T-test q-value N2_d15_N2_d5; Student's T-test Difference N2_d15_N2_d5;Student's T-test Test statistic N2_d15_N2_d5;Sign p-val: 0.05 
G5EEB6(70);20,7003;19,7526;19,3638;20,5391;20,2586;21,1152;20,7734;21,7104;1,02641;0,0461302;-0,875429;-1,98705;+
G5EED5(63);24,373;24,9332;24,408;22,865;29,5317;29,071;28,7795;29,4503;4,37791;0;-5,06331;-10,5831;+
G5EED5(296);27,5915;27,0327;24,96;27,4432;27,9061;28,3196;26,4591;27,4311;0,480316;0,197878;-0,772112;-1,05774;
G5EEG4(91);20,0967;21,1699;18,7249;20,9878;20,8423;21,115;19,8133;20,8412;0,267841;0,38512;-0,408139;-0,650097;
G5EEP9(11);19,7571;19,4768;20,0813;19,0943;23,2558;23,1498;24,7294;23,4971;4,1483;0;-4,05566;-9,64686;+
G5EEP9(185);20,1937;19,841;20,6827;20,8482;19,8961;20,5095;20,6054;21,6547;0,261732;0,393216;-0,275054;-0,637477;
G5EEP9(186);22,9146;22,3737;21,1718;24,6288;22,8578;21,9888;22,1924;23,499;0,0613375;0,805155;0,137706;0,173073;
G5EEP9(1196);20,9239;18,7279;15,6546;18,9918;20,9555;20,8613;21,361;21,8707;1,28141;0,025619;-2,68756;-2,41369;+
G5EEP9(340);20,7717;19,9644;19,9385;19,2021;21,77;21,5535;20,9123;20,5435;1,54311;0,013653;-1,22565;-2,86445;+
G5EEI9(473);20,3545;20,8278;20,3045;18,7727;20,5878;21,5805;20,5262;21,0881;0,870058;0,0650339;-0,880744;-1,72719;
G5EEJ7(36);21,524;20,8152;20,2314;19,7807;21,0366;21,3767;20,7486;21,1632;0,580462;0,148039;-0,49344;-1,23572;
G5EEK1(484);20,5104;19,266;20,0357;18,6688;23,7325;24,3356;23,8549;23,4841;4,11123;0;-4,23154;-9,50289;+
G5EEK1(517);25,5057;25,7369;23,8624;24,8032;24,0273;23,9096;23,7182;24,0928;1,28702;0,0252811;1,04004;2,42318;+
G5EEK1(24);21,7561;23,8029;22,0726;23,6957;22,8538;22,5721;23,11;23,6241;0,135792;0,614675;-0,20818;-0,359565;
G5EEK9(703);25,5888;27,1978;23,654;26,1912;26,4499;25,1663;25,9645;25,5117;0,050735;0,835829;-0,115152;-0,144623;
G5EEK9(729);22,2854;22,1754;24,4694;21,5734;26,1056;25,4501;22,9532;24,6039;1,22109;0,0289175;-2,1523;-2,31198;+
G5EEK9(730);23,1665;23,6616;23,231;25,4663;21,8353;21,3434;21,0228;21,507;2,31182;0,00302619;2,45422;4,33961;+
G5EEK9(167);17,0484;20,4871;19,3379;19,1358;23,6897;23,4788;23,3229;23,8022;3,13249;0,000585895;-4,57115;-6,31359;+
G5EEL9(80);21,2045;21,4815;18,0793;19,0917;21,8728;20,5091;20,3458;21,8927;0,609512;0,136476;-1,19089;-1,28628;
G5EEL9(93);20,2689;18,9103;19,9141;19,7134;21,2948;21,7607;20,4635;21,6056;2,0835;0,00493581;-1,57948;-3,87158;+
G5EEL9(110);19,5618;21,074;18,6279;17,8286;19,9424;19,6035;19,8535;20,5053;0,434036;0,227775;-0,703072;-0,973069;
G5EEL9(113);19,7475;19,7368;20,6334;19,717;21,7038;21,6751;21,1852;20,606;2,09639;0,00482043;-1,33388;-3,89723;+
G5EEL9(129);22,0253;21,4282;17,4844;20,1834;21,3607;21,0475;20,231;21,4593;0,298148;0,348896;-0,74428;-0,711769;
G5EEN7(149);22,3762;22,2038;22,3282;25,9089;20,3827;21,6318;21,4185;21,2412;1,12973;0,0356405;2,03574;2,15902;+
G5EEN7(150);22,3762;21,3755;22,0122;22,4982;21,763;20,703;21,1825;20,5622;1,46844;0,0162597;1,01284;2,73398;+
G5EGR6(209);23,9225;22,8459;23,7845;22,8508;26,3157;25,2382;24,7401;25,3313;2,46451;0,00186638;-2,0554;-4,66997;+
G5EET8(124);19,319;19,9449;21,2461;20,6499;20,6034;19,767;20,6985;21,158;0,208129;0,47177;-0,266737;-0,523704;
G5EET8(104);21,4023;18,3641;20,1238;21,1607;20,7733;20,3218;20,7326;21,4721;0,326956;0,318062;-0,562189;-0,769082;
G5EET8(90);20,4458;20,1538;20,1193;21,1081;25,652;25,3584;24,6722;24,5909;4,95448;0;-4,61164;-13,3138;+
G5EET8(96);19,1467;19,7885;18,7145;20,5933;20,1417;21,7705;20,8394;20,8544;1,35565;0,0213618;-1,34078;-2,53983;+
G5EET8(97);18,4818;20,3804;20,8506;20,4796;20,9034;21,7459;20,5595;21,6394;0,989681;0,0496835;-1,16398;-1,92604;+
G5EET8(150);21,1177;18,7076;20,0428;20,0473;21,0756;21,6421;21,2829;20,5399;1,10826;0,037257;-1,15627;-2,12321;+
G5EET8(28);21,8979;17,8915;20,0381;21,4649;28,1766;29,2867;28,2325;29,0049;3,93462;0,000408163;-8,3521;-8,84288;+
G5EET8(42);18,4359;20,6382;19,3106;20,0491;21,8589;21,7324;20,4152;21,3384;1,61619;0,0116561;-1,72778;-2,99385;+
G5EEU1(32);19,966;20,2809;20,756;20,478;21,9058;20,2545;20,8498;21,3277;0,937464;0,0552215;-0,71423;-1,83931;
G5EEU1(65);20,1644;20,0242;21,251;19,2844;21,2094;21,4914;20,3235;21,549;1,0014;0,0486354;-0,962308;-1,9455;+
G5EEV5(118);17,24;21,7671;20,721;20,2371;20,8739;20,4104;20,6049;21,3706;0,357864;0,288979;-0,823634;-0,829313;
G5EEV9(218);24,711;24,765;25,1397;25,1769;24,5511;24,3737;22,554;24,0777;1,1813;0,0310725;1,05904;2,24523;+
G5EEW9(516);24,8839;25,509;27,5581;23,2316;24,2387;24,8833;25,1504;26,1125;0,0732887;0,768677;0,199424;0,204508;
G5EGD5(66);20,8027;19,9213;23,3646;20,2147;26,5621;26,2118;26,71;26,5007;3,32145;0,000553191;-5,42028;-6,84772;+
G5EGD5(141);21,3048;19,7008;17,9247;20,4153;24,2667;23,099;22,8274;23,974;2,46055;0,00193644;-3,70537;-4,66121;+
G5EGD5(102);19,0889;21,5723;21,4641;19,4503;21,4383;19,4424;19,4915;20,7551;0,0479573;0,844522;0,112051;0,137079;
G5EGD5(105);21,9992;20,2648;20,4936;18,3661;21,4548;21,3713;21,5274;20,8691;0,645497;0,12274;-1,02473;-1,34839;
G5EF05(1491);28,8038;28,4197;27,7514;28,1462;28,0119;26,8699;28,3227;27,9649;0,593987;0,142125;0,487936;1,25931;
G5EF32(101);20,8678;19,3918;19,6785;20,3006;21,5417;20,9259;20,6642;21,6331;1,50273;0,0151408;-1,13155;-2,79368;+
G5EF32(71);20,4011;21,2416;19,3364;21,8011;21,7555;19,2279;20,8728;21,5674;0,0733055;0,768896;-0,160856;-0,204552;
G5EF37(117);21,7191;20,3103;19,044;20,447;25,4628;25,1717;24,5481;24,5463;3,59148;0,000277778;-4,55209;-7,67371;+
G5EF37(105);24,2387;25,0747;22,4155;22,3113;22,2347;23,3688;24,2215;23,9302;0,0301352;0,899493;0,0712681;0,0877067;
G5EF82(491);20,5859;20,9879;20,6605;20,4035;21,9025;21,1587;21,141;20,567;0,900589;0,0603198;-0,532883;-1,77801;
G5EF87(486);19,2885;18,3703;18,9291;19,6688;19,9764;21,3734;20,7879;21,5049;2,22313;0,00364004;-1,84647;-4,15431;+
G5EFC4(736);19,3558;20,1239;18,3539;21,5987;20,0838;21,6061;21,0255;21,4066;0,756346;0,0890734;-1,17243;-1,53682;
G5EFD7(104);22,6523;21,9387;22,1637;22,516;21,2578;20,5689;21,3291;20,579;2,71014;0,00105897;1,38397;5,23423;+
G5EFD7(105);23,5465;23,1949;22,4404;25,0434;20,632;21,7841;20,5262;21,3504;2,13922;0,00417498;2,48311;3,98312;+
G5EFE3(451);20,3979;20,1453;20,4897;18,8039;22,547;22,9521;22,2617;23,4557;3,03613;0,000706271;-2,84491;-6,05402;+
G5EFF2(20);23,5035;23,8085;22,9057;23,5567;24,4719;23,1642;23,8269;24,353;0,699501;0,105603;-0,510414;-1,44066;
G5EFF2(5);16,4248;18,5635;19,1525;18,5369;21,5156;20,8369;20,9752;20,4058;2,29902;0,00300868;-2,76394;-4,3126;+
G5EFI4(39);18,3836;19,2112;20,1204;18,4737;20,8919;21,5021;20,9855;21,8617;2,5629;0,00148984;-2,26307;-4,8909;+
G5EFI4(65);18,7919;18,8433;21,1323;18,2927;21,7852;20,3116;21,2639;21,7442;1,49973;0,0152619;-2,01118;-2,78844;+
G5EFK4(73);21,7669;20,9112;19,9839;19,7805;21,6007;20,71;20,6455;21,6905;0,463607;0,20831;-0,551041;-1,02737;
G5EFK4(142);19,8716;18,9969;20,2208;19,9476;21,3063;21,5836;21,2969;21,1641;2,88095;0,00097093;-1,5785;-5,65298;+
G5EFM0(455);22,318;23,0995;22,731;24,1027;21,2756;21,1134;20,8809;21,1094;2,62959;0,00124171;1,968;5,04448;+
G5EFP2(100);20,3145;19,7492;18,7402;20,6072;21,9052;20,8346;20,9745;21,6889;1,6577;0,0104898;-1,49803;-3,06816;+
G5EFP2(51);22,1998;20,7101;22,0724;23,2888;23,5578;23,9401;23,2771;24,036;1,58365;0,0125714;-1,63496;-2,936;+
G5EFP2(214);19,4978;20,7144;19,8483;21,5561;21,498;19,6416;19,3822;21,8635;0,0892086;0,72673;-0,192178;-0,245416;
G5EFQ4(305);17,7857;21,0742;20,659;20,8898;25,5724;26,2299;25,0989;24,9941;3,20009;0,000496183;-5,37164;-6,50076;+
G5EFQ4(320);20,4396;19,7115;19,3865;19,2526;26,0477;26,2299;26,5401;26,8882;6,09705;0;-6,72891;-20,8184;+
G5EFS0(500);24,2801;23,8763;25,383;24,6373;21,4581;22,4677;23,1085;23,5067;1,87766;0,0069099;1,90894;3,47308;+
G5EFS0(501);24,2801;23,8763;22,5512;27,7008;25,0663;24,4873;23,9806;23,5067;0,110314;0,672597;0,341899;0,298091;
G5EFS1(408);24,6175;23,34;23,6115;25,202;23,884;23,6412;22,9946;23,9786;0,540252;0,166213;0,56813;1,165;
G5EFS1(3);18,9815;20,0703;19,2215;19,0514;20,8364;20,4646;20,7868;21,7623;2,31339;0,00303502;-1,63136;-4,34294;+
G5EFS5(75);19,3409;21,5021;19,8647;21,3059;19,9626;20,7873;21,2256;21,7147;0,265613;0,387894;-0,419161;-0,645502;
G5EFS5(346);19,7949;20,6246;19,5389;20,3133;21,072;21,6059;20,0797;21,8868;1,23579;0,028112;-1,09318;-2,33672;+
G5EFS5(347);22,0115;19,8397;20,5786;17,0279;20,703;21,3253;19,7588;20,8625;0,305672;0,340628;-0,798004;-0,726855;
G5EFS5(409);19,2312;19,9123;17,9654;20,0645;21,1708;21,7618;21,3236;21,7363;2,34164;0,00271841;-2,2048;-4,40299;+
G5EFS5(28);20,7218;20,3106;19,3121;18,7303;21,8031;20,3174;20,9117;21,357;1,26957;0,026085;-1,32863;-2,39367;+
G5EFS5(255);19,7778;20,0604;20,8689;21,4514;20,5995;19,5383;21,4863;21,4541;0,146643;0,590323;-0,229909;-0,385107;
G5EFV4(92);21,7224;21,0468;19,6568;19,6867;22,4663;22,0049;21,6584;22,8588;1,60898;0,0120026;-1,71889;-2,981;+
G5EFV4(93);20,9054;21,7323;20,9213;20,2761;21,8454;21,7545;20,539;21,4225;0,461406;0,209652;-0,431565;-1,02336;
G5EFZ1(261);18,3624;17,8045;18,7402;20,1781;21,4443;21,7141;20,5694;21,5988;2,38441;0,002417;-2,5603;-4,49483;+
G5EFZ2(17);27,1085;27,2467;25,5719;28,4348;21,8452;21,3785;19,4668;21,5813;3,54789;0,000260417;6,02254;7,53508;+
G5EG03(16);27,2433;26,6511;25,3869;22,5387;24,8393;25,0254;24,5831;24,734;0,25709;0,39958;0,659523;0,627845;
G5EG03(17);27,2433;26,6511;25,3869;22,5387;24,8393;23,9509;24,5831;24,734;0,379836;0,269847;0,928144;0,871417;
G5EG03(655);27,6618;27,5769;27,979;28,0796;26,2744;26,1892;27,5234;27,175;1,58273;0,0126166;1,03384;2,93438;+
G5EG11(100);18,4432;20,3342;20,9929;21,4636;21,4168;20,7382;20,2034;21,2099;0,350366;0,296186;-0,58365;-0,814812;
G5EG39(96);21,3837;20,541;20,7579;19,5739;23,5669;23,433;25,8989;24,9018;2,85418;0,00111773;-3,88603;-5,58584;+
G5EG58(1151);19,8002;21,0626;20,0203;20,4035;21,4064;21,2975;20,4318;21,8835;1,20014;0,0302241;-0,933149;-2,27681;+
G5EG58(378);21,6277;20,7949;19,0171;21,5437;21,2295;21,5218;21,106;21,8323;0,491941;0,191869;-0,676577;-1,07874;
G5EG58(387);19,8483;20,8005;19,6781;20,0193;21,3733;21,2092;21,0689;21,3542;2,39422;0,00223398;-1,16482;-4,51606;+
G5EG58(661);19,277;19,501;19,8173;19,1658;23,3659;23,165;23,5798;22,7766;5,56731;0;-3,78155;-16,9369;+
G5EGA5(358);19,9319;20,8212;18,7496;21,0029;21,4096;20,6191;19,6466;21,8158;0,482553;0,196381;-0,746397;-1,06179;
G5EGA5(325);20,9147;19,9831;19,4044;19,2853;24,5607;24,6149;22,4011;23,556;3,04238;0,000625624;-3,88629;-6,07062;+
G5EGA5(332);20,02;20,3451;19,9955;20,628;21,4261;20,9068;20,3931;20,4338;0,978317;0,0506985;-0,542831;-1,90717;
G5EGA5(143);18,5533;20,1274;20,2357;18,035;23,5711;22,1265;22,4639;23,116;2,84769;0,00111142;-3,58153;-5,56965;+
G5EGA5(18);19,6527;19,3856;20,718;18,6169;23,0299;23,0393;21,7658;23,4236;2,89958;0,000921713;-3,22134;-5,70007;+
G5EGA5(319);19,0499;19,4904;19,2081;19,9613;22,7957;23,1261;22,9145;22,5244;5,16361;0;-3,41275;-14,458;+
G5EGA5(12);19,5563;18,2428;20,9422;20,8988;22,0236;23,4208;22,5042;22,8339;2,1206;0,00445439;-2,78558;-3,94565;+
G5EGA5(11);20,9017;17,7415;20,4484;20,7128;20,7086;20,3668;20,4534;21,7574;0,490755;0,192112;-0,870455;-1,0766;
G5EGB1(103);29,338;29,1668;28,9156;28,0344;28,0599;29,5774;28,7348;29,3629;0,0550866;0,822566;-0,0700583;-0,156366;
G5EGB1(111);23,9933;25,0059;23,7398;23,6061;24,6986;24,9977;23,7473;24,7912;0,515708;0,178445;-0,472423;-1,12137;
G5EGB1(220);18,7997;19,5329;20,0509;20,1747;21,9376;21,5521;19,6936;21,5403;1,38961;0,0193174;-1,54133;-2,59795;+
G5EGB1(66);20,0137;18,3334;19,4377;21,1997;19,5788;20,663;20,7316;21,0868;0,521032;0,175367;-0,768898;-1,13087;
G5EGB1(185);20,0993;20,2915;18,8158;19,182;21,9356;21,6558;21,4796;21,6726;2,89144;0,000978038;-2,08875;-5,67945;+
G5EGB1(30);22,6387;22,6563;22,8134;23,7615;21,1235;18,9915;20,1145;21,6692;2,07155;0,00504362;2,49284;3,84786;+
G5EGB1(14);25,4028;24,8593;24,2414;21,9672;23,4118;24,1198;23,9881;23,8754;0,131321;0,623925;0,268891;0,348932;
G5EGB3(130);21,4391;20,6166;20,3931;20,606;23,0224;23,115;23,7145;23,285;4,00254;0,00044843;-2,52054;-9,09175;+
G5EGD4(470);19,8947;21,1111;21,4083;19,947;21,5502;20,5349;21,5399;21,6533;0,762394;0,087795;-0,729308;-1,54701;
G5EGE9(220);20,2448;19,2732;20,3127;19,8604;23,9259;22,2463;21,4509;22,9055;2,48163;0,00171858;-2,70938;-4,70795;+
G5EGF1(317);19,9107;21,6303;20,3633;19,7803;23,9788;23,6499;23,7794;24,4344;3,62105;0,000282486;-3,53949;-7,76896;+
G5EGJ5(444);19,55;19,5685;18,8174;21,0252;21,9302;20,7821;20,3166;21,6354;1,27224;0,0260399;-1,42579;-2,39819;+
G5EGJ5(431);24,454;24,7266;24,9861;25,1535;24,3687;24,8611;24,7331;24,3224;0,602875;0,138915;0,258719;1,27476;
G5EGK8(50);24,4267;23,3008;22,4356;23,7965;23,9559;23,1526;22,5987;22,953;0,262015;0,393053;0,324836;0,638063;
G5EGN2(106);19,9092;19,0466;19,33;20,1058;22,3875;24,2076;23,2917;22,6419;3,5178;0,000255754;-3,53427;-7,44061;+
G5EGP4(285);25,5488;25,7835;24,3954;26,1121;25,1337;23,7706;25,0341;24,9786;0,725153;0,0972466;0,730707;1,48416;
G5EGP4(144);24,1101;24,3246;25,9179;24,5008;24,8404;23,2306;25,7453;26,9049;0,212252;0,464393;-0,466951;-0,532666;
G5EGP4(172);18,4514;19,7455;19,8026;18,5292;25,1942;24,1481;23,9117;24,6439;4,56963;0;-5,34228;-11,4274;+
G5EGP4(175);26,8265;27,3063;22,7461;27,1175;28,0483;26,3699;27,1068;27,7009;0,52481;0,173983;-1,30737;-1,13759;
G5EGP4(92);23,8437;22,5529;24,4085;22,4386;24,5107;24,2301;23,146;25,2071;0,727122;0,0968514;-0,962587;-1,48749;
G5EGP4(167);20,1321;19,3123;18,0778;19,4276;24,6089;24,3686;23,7106;23,9629;4,3431;0;-4,9253;-10,4361;+
G5EGP4(267);19,0865;19,7223;21,2266;21,6361;23,5029;21,8531;23,1463;22,2866;1,72501;0,00918287;-2,27934;-3,19002;+
G5EGP4(280);20,1339;18,7196;18,7443;19,7753;21,6481;20,744;19,851;21,3516;1,56435;0,0130939;-1,55544;-2,90187;+
G5EGT4(54);20,3697;20,0625;21,0643;21,6234;21,6937;20,9318;19,8286;20,7845;0,0194213;0,935669;-0,0296826;-0,0571701;
G8JXY5(235);20,3822;20,6697;19,6604;18,9888;23,4075;22,7005;22,4043;24,14;3,00931;0,000764045;-3,23779;-5,98324;+
G8JXY9(12);21,1089;19,6898;18,6272;18,9668;24,5276;23,9689;23,8289;23,9788;3,64181;0,000289855;-4,47784;-7,83644;+
G8JXY9(463);20,1707;19,501;20,1473;19,4349;22,3645;22,6154;22,6008;22,7782;4,84934;0;-2,77624;-12,7715;+
G8JXY9(464);20,8738;21,5632;21,7548;21,6552;22,6361;24,0655;22,4728;22,4633;1,79634;0,00808739;-1,44766;-3,32107;+
G8JXY9(22);25,2012;24,869;24,2657;25,5825;22,8105;22,5702;23,135;24,7934;1,54961;0,0134484;1,6523;2,87589;+
G8JY31(24);17,4423;20,1189;17,5998;19,385;27,2174;25,615;25,2414;26,6096;4,08283;0;-7,53434;-9,39391;+
G8JY31(31);24,0109;22,9947;22,1982;21,7765;28,0054;25,6938;25,8211;27,1269;2,73531;0,00107791;-3,91673;-5,2945;+
G8JY40(107);24,3983;24,3362;24,7847;24,6193;24,5797;24,4916;23,216;24,7092;0,336657;0,309099;0,2855;0,78812;
G8JY63(197);18,9838;21,8456;20,5498;20,4692;21,1973;20,7755;20,7848;20,4985;0,236232;0,42847;-0,351893;-0,584068;
G8JY83(29);24,6039;24,6673;25,3623;24,5224;24,0901;25,0083;26,2723;25,2087;0,307008;0,338936;-0,355851;-0,729525;
G8JY83(33);26,6424;26,4483;24,1816;27,3845;26,3207;26,1417;25,9749;25,9168;0,0375951;0,875592;0,0756731;0,108581;
G8JY83(48);36,7533;36,5035;35,5543;34,6399;36,9298;36,7648;36,7125;36,1963;0,765174;0,0873059;-0,788099;-1,55168;
G8JY83(63);29,3765;29,4475;29,2238;25,7998;33,541;34,1395;32,9305;33,0419;2,74636;0,00109326;-4,95131;-5,32114;+
G8JY83(6);31,6871;31,6063;29,643;27,4696;32,6708;31,2208;32,4893;31,2558;0,847642;0,0689894;-1,8077;-1,68981;
G8JY83(11);30,9889;30,6883;28,4718;27,4293;30,2276;30,3981;29,3266;28,5618;0,0883036;0,72908;-0,233925;-0,243119;
G8JY83(27);26,4014;26,4056;26,6977;21,539;28,4161;26,1496;27,3065;28,1169;0,833694;0,0716525;-2,23632;-1,66653;
G8JY83(391);28,9168;28,188;27,0246;28,1535;21,1605;19,1843;20,6837;20,3655;4,97949;0;7,72224;13,446;+
G8JY94(338);23,6737;24,5692;23,2692;24,137;20,9282;21,1828;20,8125;21,3532;4,04689;0,000230769;2,84309;9,25758;+
H2FLI6(54);18,7801;20,6031;19,1596;19,033;21,9706;20,2926;21,0888;21,7768;1,82462;0,00753657;-1,88825;-3,37362;+
H2FLK8(376);21,1525;18,7813;19,9577;19,7128;19,9439;21,3874;21,2476;21,801;0,967733;0,0516184;-1,19391;-1,88959;
H2FLK8(378);23,2363;22,515;23,1371;23,6215;25,3525;23,6098;24,3928;24,7849;1,76274;0,00838174;-1,40751;-3,25907;+
H2FLK8(1264);17,5828;19,0639;20,9388;19,9383;24,1349;23,161;21,8384;21,8769;2,01695;0,00556381;-3,37186;-3,74046;+
H2FLK8(645);23,9683;23,2254;23,6472;20,9451;24,8412;26,1646;26,8868;27,7232;2,03217;0,00549878;-3,45745;-3,77025;+
H2FLK8(647);20,7978;21,0296;21,4729;18,2396;23,9585;22,9786;24,0144;23,7715;2,29124;0,00303846;-3,29577;-4,2962;+
H2FLK8(314);19,4331;21,7255;20,3758;18,4755;21,2917;20,9446;21,5038;21,9042;1,00544;0,0483648;-1,40864;-1,95222;+
H2FLK8(605);19,4377;21,7367;16,9954;19,3151;23,201;23,7894;22,8834;23,4414;2,15264;0,00401059;-3,95762;-4,01022;+
H2FLK8(272);20,9631;18,0649;19,2672;20,9523;22,9798;23,0107;22,6075;22,4165;2,18882;0,00384101;-2,94177;-4,08382;+
H2FLK8(288);20,9069;20,3066;20,9257;20,091;21,8091;21,4597;21,3026;20,828;1,44703;0,0174212;-0,792322;-2,69686;+
H2FLK8(294);18,3404;21,5406;20,3852;20,3212;21,5666;21,5912;21,0326;21,8069;1,0201;0,0466244;-1,35245;-1,97657;+
H2FLK8(1002);20,3686;19,8879;18,5685;16,3563;24,525;24,6188;22,6313;24,0909;2,66514;0,00127184;-5,17117;-5,12764;+
H2FLK8(1013);17,3039;20,23;20,3212;21,6249;23,7398;23,7701;23,0585;23,9613;2,16178;0,00391512;-3,76242;-4,02875;+
H2FLK8(1032);19,6847;20,3175;19,6184;18,5462;24,3996;25,1138;23,4299;24,7343;4,10402;0;-4,87767;-9,47515;+
H2FLK8(1038);19,0511;20,2162;20,5344;19,5053;22,6972;23,1325;23,2078;23,3211;3,97501;0,00042735;-3,26292;-8,99016;+
H2FLK8(911);20,0417;21,1431;20,1567;20,2918;20,9924;21,0897;20,824;21,2409;1,25621;0,0269802;-0,628438;-2,37112;+
H2FLK8(923);22,8428;22,8764;23,8018;25,419;24,149;23,7052;23,608;24,9003;0,210759;0,466744;-0,35561;-0,529425;
H2FLK8(303);25,9043;25,1432;23,8737;25,4702;21,8913;21,5472;21,2067;21,8067;3,54455;0,000258398;3,48487;7,52454;+
H2FLK8(305);22,6418;22,1889;21,6613;23,9997;24,3907;25,1483;22,9269;24,8299;1,28853;0,0251954;-1,70099;-2,42574;+
H2FLK8(354);19,1061;17,5652;18,6614;21,5557;21,7201;20,789;21,1885;21,6267;1,28845;0,0252035;-2,10898;-2,42561;+
H2FLK8(111);19,8075;21,8818;17,4084;20,1224;21,5661;21,2205;20,3547;20,6735;0,558692;0,157274;-1,1487;-1,19754;
H2FLK8(120);20,0899;19,5625;20,8747;20,4457;24,5022;24,947;25,2557;24,3207;4,8765;0;-4,51321;-12,9095;+
H2FLK8(1080);20,5268;19,7266;20,7547;20,6236;25,2317;24,2028;23,8817;24,9028;4,40595;0;-4,14682;-10,7029;+
H2FLK8(396);18,7137;20,7357;19,3652;19,325;22,6264;22,957;22,139;23,1025;3,24943;0,00052;-3,17131;-6,6401;+
H2FLK8(1051);18,6317;20,8775;20,7696;18,9478;24,5317;24,704;22,7645;22,5193;2,45167;0,00202947;-3,82324;-4,64161;+
H2FLK8(953);20,3226;19,8333;19,6372;21,5769;21,437;21,6969;21,4825;21,4697;1,43714;0,0176953;-1,17906;-2,67976;+
H2FLK8(962);20,4941;20,24;20,3909;20,091;22,9741;23,5933;23,6567;24,4407;4,41309;0;-3,36219;-10,7336;+
H2FLK8(984);18,717;19,689;20,0921;18,4745;21,6394;20,6196;21,0681;21,5924;2,32429;0,00284872;-1,98675;-4,36607;+
H2FLK8(1165);17,9502;19,9065;16,4487;19,3885;21,5228;21,1653;21,4023;21,7153;2,07383;0,00504786;-3,02794;-3,85237;+
H2FLK8(1173);20,5287;20,4733;19,5159;19,8945;26,0267;26,076;24,472;25,7614;4,73878;0;-5,48094;-12,2235;+
H2FLK8(367);19,316;19,3233;19,4595;21,9342;24,5359;24,1036;23,9275;24,4724;3,18172;0,000488722;-4,2516;-6,44948;+
H2FLK8(188);18,8249;21,1808;19,5617;21,1253;22,9905;21,3213;22,9226;22,4782;1,73887;0,00878635;-2,25495;-3,21531;+
H2FLK8(201);23,1663;22,2757;22,3388;24,2653;24,9401;24,6233;25,145;25,2388;2,18696;0,00383755;-1,97529;-4,08002;+
H2FLK8(98);18,7647;20,2476;19,7758;18,3366;21,5116;21,2394;21,0045;21,4308;2,35146;0,00266002;-2,01542;-4,42398;+
H2FLK8(1255);21,0499;20,4837;19,9579;19,4567;23,932;24,5436;24,2029;24,7406;4,39298;0;-4,11772;-10,6474;+
H2FLK8(993);23,1656;24,1415;24,4428;24,2898;25,1668;25,698;23,9667;25,403;1,15413;0,033731;-1,0487;-2,19977;+
H2FLK8(1022);20,2892;18,7648;20,2962;20,5172;25,1273;24,4833;24,5117;24,4819;4,4253;0;-4,68422;-10,7863;+
H2FLK8(902);19,2066;18,3997;18,6516;21,2971;23,1216;24,2673;24,0912;24,0442;3,14822;0,000591241;-4,49232;-6,35678;+
H2FLK8(345);20,7277;20,0549;20,0722;19,547;25,2559;24,5921;24,1139;25,4178;4,74568;0;-4,74447;-12,257;+
H2FLK8(1154);19,8496;20,547;20,786;18,457;24,6166;25,0472;24,6303;23,6656;3,58051;0,000273973;-4,58;-7,63863;+
H2FLK8(263);20,3494;21,7611;19,2499;19,9485;21,7765;21,0666;20,1757;21,6412;0,620015;0,13203;-0,837793;-1,30447;
H2FLK8(169);19,8213;21,5768;20,6722;18,6802;21,8191;20,32;21,0942;21,8424;0,741885;0,0928644;-1,08133;-1,51244;
H2FLK8(178);19,2195;19,611;20,4628;18,7298;21,4447;21,3885;21,1144;20,5297;2,05921;0,00510631;-1,61356;-3,82346;+
H2FLK8(1109);20,4079;20,5177;17,7859;20,0013;23,6991;23,3313;24,2357;22,8816;2,81923;0,0010899;-3,85875;-5,49901;+
H2FLK8(1118);20,0755;20,7175;18,6971;20,6202;23,92;23,2559;22,4872;23,5552;2,97445;0,000811321;-3,27696;-5,89217;+
H2FLK8(853);19,8215;21,5616;17,5695;20,2503;24,2275;22,032;23,4652;23,4298;1,98468;0,00584762;-3,4879;-3,67769;+
H2FLK8(1071);17,799;20,2131;19,0617;20,8017;24,5254;23,443;23,0743;22,7766;2,69812;0,0011208;-3,9859;-5,20562;+
H2FLK8(843);20,9258;18,6787;19,2374;18,3503;23,6846;23,5705;24,1852;24,6215;3,56442;0,000269542;-4,71741;-7,58739;+
H2FLK8(126);20,1139;17,9509;20,647;20,2726;20,9117;20,3138;20,9446;21,4229;0,897756;0,0608237;-1,15218;-1,7733;
H2FLK8(343);17,4472;21,7165;19,3294;19,8332;21,7745;20,567;21,3366;20,3293;0,741499;0,0929171;-1,42027;-1,51179;
H2FLK8(15);19,4257;21,0617;19,8189;21,2478;20,4604;20,467;20,6718;21,0623;0,236939;0,427233;-0,276828;-0,585565;
H2FLK8(140);20,8382;21,0348;19,5255;19,0001;24,0847;24,6227;22,9846;24,4046;3,15531;0,000597786;-3,92451;-6,37632;+
H2FLK8(156);21,284;21,1032;20,1277;20,1117;24,5619;22,4275;22,5489;23,5553;2,36346;0,00245938;-2,61677;-4,4497;+
