Leading.proteins.Positions.within.proteins;log2 eat2_d15_01;log2 eat2_d15_02;log2 eat2_d15_03;log2 eat2_d15_04;log2 N2_d15_01;log2 N2_d15_02;log2 N2_d15_03;log2 N2_d15_04; -Log Student's T-test p-value eat2_d15_N2_d15;Student's T-test q-value  eat2_d15_N2_d15; Student's T-test Difference  eat2_d15_N2_d15;Student's T-test Test statistic  eat2_d15_N2_d15;Sign p-val: 0.05 
O01869(125);35,242;29,7449;29,9375;29,6303;32,1226;32,8921;31,1602;31,5662;0,225449;0,485121;-0,796575;-0,561103;
O01869(57);23,4424;27,5704;26,7004;25,9842;19,8212;21,6752;19,3859;20,5037;2,80867;0,00323209;5,57781;5,47298;+
O01869(93);24,8923;25,585;25,529;23,8715;21,7916;22,633;22,6194;25,6585;0,979878;0,0733903;1,79382;1,90976;
O01869(95);24,8923;24,4551;24,5041;24,8279;20,337;21,2567;18,9528;20,8105;3,83078;0,001104;4,33064;8,47392;+
O01869(25);22,0856;21,2363;21,2203;19,315;20,5391;21,7822;19,5822;18,7018;0,406027;0,291268;0,812973;0,920908;
O01893(308);22,0572;20,265;20,647;19,1648;21,9587;21,3258;18,2802;21,2618;0,0602237;0,823234;-0,173107;-0,170109;
O01893(641);21,973;21,5185;18,829;20,4269;26,7005;27,1477;24,3772;27,4659;2,93842;0,00312164;-5,73601;-5,79913;+
O01927(505);21,7957;21,295;19,4606;21,2711;19,4656;20,4579;18,7049;19,71;1,14567;0,0495208;1,37101;2,18563;+
O01927(35);26,0437;23,4747;23,7591;23,5908;24,6812;25,5357;23,5526;24,6081;0,203663;0,519765;-0,377347;-0,513954;
O01927(5);27,4613;27,0709;27,5671;27,2519;26,0303;25,6468;28,248;26,566;0,573819;0,191659;0,715045;1,2241;
O01963(457);21,4428;20,7681;19,5837;20,7204;19,3832;19,3067;19,2075;19,5534;1,74552;0,0157806;1,26603;3,22748;+
O02051(190);20,8146;21,3673;20,6506;20,783;20,4997;21,1998;19,262;18,6115;0,833156;0,102574;1,01062;1,66563;
O02056(274);21,2912;21,225;21,0007;20,715;20,8893;18,2295;19,8292;20,9472;0,836286;0,102168;1,08415;1,67086;
O02056(238);21,4366;21,2594;20,5856;20,9885;24,4284;23,827;25,1142;24,888;4,31257;0,00164341;-3,49686;-10,3087;+
O02056(13);21,0289;20,8693;20,9941;19,0437;19,5941;20,652;20,7292;19,7634;0,211225;0,506603;0,299324;0,530436;
O02056(300);20,5927;20,4138;21,1069;20,1662;26,4536;25,0903;26,2331;25,0941;4,7763;0,00276364;-5,14786;-12,4069;+
O02082(153);27,1139;23,0082;22,6323;25,1384;19,5923;21,2607;19,476;18,7521;2,1633;0,00753271;4,70293;4,03184;+
O02092(135);22,4383;24,919;25,4584;23,0437;25,4053;24,6607;24,5783;26,8859;0,777816;0,115277;-1,4177;-1,57294;
O02115(165);25,6585;29,2402;27,9874;26,8577;20,5915;17,0136;20,598;21,2782;3,06674;0,0026455;7,56561;6,13558;+
O02115(13);20,8559;20,2039;20,6784;20,8678;19,3394;21,9027;20,6111;18,6538;0,29964;0,388751;0,52475;0,714768;
O02155(130);25,1006;24,4533;24,111;24,0387;21,5234;19,1148;19,4094;19,9193;3,54532;0,00150427;4,43418;7,52696;+
O02155(116);26,0424;23,7344;24,6976;24,2525;23,578;22,2241;26,3856;20,7507;0,512792;0,221524;1,44711;1,11616;
O02286(64);24,2097;24,2786;24,3231;25,3091;20,0558;20,1763;20,6637;18,8526;4,20835;0,00138562;4,59299;9,88422;+
O02286(12);21,1378;21,2654;18,9413;19,962;18,8259;21,0724;19,6632;19,2548;0,368577;0,323482;0,622545;0,849913;
O02328(676);20,2946;20,3336;19,5564;21,5971;20,212;20,9862;19,9634;20,94;0,0569276;0,833437;-0,0799818;-0,161306;
O02345(377);21,7434;19,9971;21,8003;20,5241;19,91;21,607;21,2078;20,2468;0,177178;0,562827;0,273321;0,455158;
O02345(389);25,7408;24,4662;24,4953;25,0571;24,9278;24,2864;23,6834;25,3625;0,337745;0,349996;0,374829;0,790248;
O02365(256);20,2231;21,0266;19,1164;20,7046;20,1973;19,1211;20,1837;18,1519;0,632501;0,164868;0,854151;1,32602;
O02365(411);21,1615;21,081;21,064;20,5541;19,4053;19,5653;21,4673;18,809;1,0035;0,0693429;1,15347;1,949;
O02365(378);21,1968;21,3787;21,6626;20,1557;21,4243;19,7876;21,1868;21,0561;0,186834;0,547271;0,234747;0,476794;
O02495(71);30,3446;26,1459;26,0333;26,5006;31,0916;30,4218;29,6174;25,4694;0,537422;0,208355;-1,89396;-1,15999;
O02495(77);25,1863;20,5318;21,0241;21,0111;28,9333;24,754;24,2458;26,4958;1,4754;0,0256922;-4,16891;-2,74606;+
O02495(51);28,8337;27,4575;27,0362;27,7928;29,2261;29,3639;27,9258;28,7814;1,08126;0,0578197;-1,04421;-2,07826;
O02495(39);27,0074;24,6068;22,8093;22,9955;18,1586;18,4276;19,6974;19,6164;2,663;0,0036401;5,37975;5,12261;+
O02495(44);25,8968;21,1728;22,0904;22,2687;27,9521;26,2252;21,4373;27,2355;0,785711;0,113217;-2,85537;-1,58619;
O02495(22);21,7248;19,9089;21,8362;21,6754;23,6272;22,9994;21,3042;23,9709;1,18517;0,0454315;-1,6891;-2,25171;+
O02621(88);21,0675;21,5607;20,7747;20,1815;18,7184;21,3883;20,4797;21,2022;0,275902;0,417377;0,448926;0,666647;
O02628(253);19,8052;21,4732;21,4463;21,0851;20,461;20,432;18,1474;20,2548;0,823277;0,104414;1,12866;1,64912;
O02639(153);19,9608;19,5765;20,8593;20,7254;17,5223;19,9015;18,4229;21,1385;0,564812;0,195927;1,03418;1,2083;
O02639(92);21,7407;22,2259;23,2005;22,7786;20,3466;17,967;19,6035;19,3988;2,75555;0,00323077;3,15743;5,34335;+
O02640(229);21,0964;20,7099;21,319;21,0915;20,3846;20,393;17,173;20,4787;0,890484;0,0901251;1,44685;1,7612;
O02640(318);22,0026;20,0033;19,9511;20,2857;20,5279;20,5131;19,1103;21,1345;0,139771;0,635353;0,239222;0,368973;
O02641(94);21,5908;18,372;20,9192;21,0358;20,1289;18,5365;18,547;21,0011;0,439337;0,268252;0,926077;0,982859;
O02641(104);22,0438;21,4157;18,7741;21,2953;22,2157;21,957;22,8195;24,409;1,1357;0,0506814;-1,96807;-2,16899;
O16000(242);19,4013;21,1406;21,3354;21,2813;24,2375;23,6042;22,9906;22,7636;2,42065;0,00475734;-2,6093;-4,57356;+
O16000(96);21,8717;21,4519;20,8949;20,2069;26,0831;24,7078;23,7266;23,9876;2,82181;0,00319308;-3,51989;-5,5054;+
Q8MXK1(330);21,5281;20,9127;20,776;21,0577;26,087;26,9884;26,0239;25,2199;4,8211;0,00292308;-5,01118;-12,6294;+
O16297(34);21,3802;21,4883;21,181;20,8835;18,7999;21,3993;20,975;19,8225;0,815209;0,106683;0,984062;1,63562;
O16303(298);24,416;23,1616;22,4583;23,0164;21,217;19,1828;20,5235;18,2094;2,34253;0,00515233;3,47991;4,40489;+
O16303(374);20,8341;21,0592;21,6394;20,656;20,794;20,8118;17,7254;21,0586;0,535348;0,209265;0,949734;1,15631;
O16303(332);24,9585;25,7405;24,155;24,1993;19,6713;21,7707;19,51;18,0151;2,95868;0,00297585;5,02153;5,85132;+
O16305(22);22,5849;22,212;22,6695;23,6824;20,0744;21,8199;21,6038;18,5979;1,49574;0,0247831;2,26321;2,78149;+
O16305(31);26,8997;26,2499;25,9005;26,4096;22,853;23,5669;24,7921;22,644;2,82008;0,00318849;2,90096;5,50111;+
O16305(76);27,3664;25,0366;25,0092;27,0597;25,0526;25,5773;25,365;25,9714;0,418058;0,283054;0,626389;0,943406;
O16305(78);25,1189;27,8491;28,5769;27,9413;27,2462;26,9792;24,8107;27,5299;0,311928;0,375726;0,730057;0,739334;
O16305(95);26,1324;22,8656;22,718;25,7757;26,4104;25,9604;24,2928;22,1947;0,0942236;0,740137;-0,34166;-0,258087;
O16331(26);20,728;20,7041;21,326;21,023;24,7014;24,1996;23,3236;24,9619;3,86886;0,00117447;-3,35135;-8,60763;+
O16331(709);21,3825;20,5326;20,2488;21,0562;20,5219;20,4928;19,0659;18,8694;1,08041;0,0579004;1,06754;2,07683;
O16368(261);22,4582;22,2214;24,5071;22,2269;19,4495;19,7203;19,7762;20,3766;2,67268;0,00366839;3,02272;5,14539;+
O16368(379);27,1333;23,9236;23,6929;25,2609;19,7616;20,2938;20,1048;20,9491;2,9014;0,0031003;4,72535;5,70468;+
O16406(193);21,4504;20,7106;20,6658;21,0786;19,5559;21,4662;17,9519;19,181;0,982924;0,0728334;1,43759;1,91482;
O16454(43);20,7232;21,5618;20,2351;21,5696;19,4564;20,6654;19,9305;19,6958;1,38069;0,0307148;1,0854;2,58265;+
O16517(35);20,8101;18,7723;19,8021;21,6911;21,142;18,0773;20,2776;19,9308;0,177757;0,562014;0,41196;0,456462;
O16517(72);21,958;19,8629;20,6462;21,1202;20,1687;19,5282;19,847;20,0452;1,13733;0,0503925;0,999561;2,17171;
O16517(49);21,6706;21,3836;21,3083;19,923;21,1297;20,5022;20,2393;18,7707;0,697041;0,140619;0,91091;1,43648;
Q8MXJ7(299);24,1793;23,2928;22,7279;24,6841;19,4091;20,1077;19,6068;20,6782;3,44629;0,002;3,77058;7,22001;+
O16541(225);20,7811;21,0958;20,7495;21,2703;20,8839;20,9498;20,4404;21,3799;0,0965206;0,734956;0,0606389;0,263858;
O16547(244);29,098;29,1735;28,6979;26,4687;27,206;26,5465;26,5877;26,6924;1,29586;0,035757;1,60137;2,43816;+
O16547(248);21,3665;21,0721;21,2388;19,7821;18,1725;20,965;19,0021;20,4229;0,829091;0,103331;1,22423;1,65883;
O16547(488);22,1004;21,0358;21,2274;21,5127;20,3203;19,6044;19,8265;19,6373;2,89698;0,00309091;1,62194;5,69346;+
O16680(83);21,4938;20,5802;21,1621;21,2452;19,1538;19,9355;17,4077;18,7056;2,20478;0,00692027;2,31966;4,11652;+
O16682(64);22,0246;21,4698;19,6628;20,5013;19,2909;20,0096;19,7421;19,908;1,12709;0,0519978;1,17695;2,15462;
O16682(76);21,1077;20,1322;20,8274;21,7261;21,7465;18,4869;18,2668;20,2581;0,691544;0,142952;1,25878;1,42712;
O16682(60);21,3971;21,5565;19,9634;21,6441;19,5658;21,0862;20,3273;20,7241;0,672039;0,150458;0,714421;1,39386;
O16682(139);21,9955;19,9226;20,6965;21,4371;18,6034;18,931;20,2098;19,3462;1,65294;0,0179986;1,74034;3,05961;+
O16682(300);20,4352;19,8979;20,3045;21,4081;18,4883;20,311;21,2098;18,5695;0,541572;0,206795;0,866764;1,16734;
O16682(232);21,9156;21,2165;21,2501;20,6405;19,818;19,01;20,1603;20,4822;1,8311;0,013458;1,38802;3,38571;+
O16682(234);21,0654;20,9397;20,7103;20,1422;23,3429;22,4996;22,3061;22,2644;2,94797;0,00301597;-1,88885;-5,82369;+
O16682(78);23,452;27,132;27,2197;27,3204;21,2574;19,3827;21,4582;19,6089;2,77119;0,00328951;5,8542;5,38128;+
O16682(164);20,7217;21,1193;21,1668;20,5879;19,8977;20,1971;20,6555;20,9081;0,916422;0,0849564;0,484313;1,80434;
O16682(130);20,5699;20,6834;20,0884;20,9934;19,8252;19,9806;19,7858;19,1331;1,83945;0,013381;0,90259;3,40131;+
O16682(82);19,5631;20,8891;20,8049;21,1201;20,2159;21,0755;19,6479;20,3184;0,249805;0,452058;0,279878;0,612648;
O16684(179);26,2511;22,5275;23,785;22,8764;21,076;20,6654;20,0946;20,3118;2,06406;0,00926316;3,32306;3,83303;+
O16697(11);20,3543;21,1482;21,6992;20,5111;22,0309;20,1691;19,9683;17,7881;0,459018;0,253825;0,93912;1,01899;
O16697(12);20,1442;20,5393;20,0131;21,2945;19,2957;19,1222;20,1965;20,2602;0,96421;0,076089;0,779092;1,88374;
O16785(23);21,7449;21,4665;20,3709;19,9491;18,5082;20,5128;20,9438;20,2368;0,568055;0,194261;0,832472;1,21399;
O16922(458);20,1891;21,1872;21,2569;20,2116;20,6661;21,6399;20,3582;20,6675;0,110993;0,699753;-0,12171;-0,29976;
O16922(235);20,4993;20,3227;21,0747;21,3927;20,9838;17,5158;21,0114;18,8668;0,662647;0,153473;1,22792;1,3778;
O16997(227);20,5108;20,2646;20,77;20,621;18,4754;20,9127;19,935;20,5431;0,476944;0,242499;0,575055;1,05163;
O16997(164);23,2221;21,7397;23,1951;21,1408;20,2772;20,8307;20,9459;18,717;1,56561;0,02181;2,13172;2,90409;+
O17069(566);24,2328;22,1306;22,5399;22,5373;22,0414;19,4862;18,9737;20,2982;1,75819;0,0154186;2,66031;3,25072;+
O17069(27);21,5882;19,2101;21,3167;20,7256;23,943;24,8364;21,3239;22,4681;1,37969;0,0307289;-2,43273;-2,58095;+
O17071(177);21,6421;20,2751;21,0227;20,864;19,7193;17,408;19,7879;20,622;1,09611;0,0555926;1,56667;2,10297;
O17071(24);18,7837;21,0385;21,0843;20,6061;20,5893;21,6832;20,1291;21,0953;0,331894;0,355294;-0,496054;-0,778789;
O17167(422);24,7723;26,3691;26,0519;25,1886;24,1437;23,4881;22,752;24,8611;1,65126;0,0180142;1,78424;3,05659;+
O17168(21);21,8429;22,0429;22,6191;24,4055;19,4957;19,038;19,5383;21,0954;2,14234;0,00795181;2,93572;3,98941;+
O17199(199);21,0524;21,5736;21,6761;21,2735;19,9463;21,5365;20,3617;20,0519;1,24266;0,0394522;0,919819;2,34828;+
O17218(88);21,6375;21,33;20,1909;21,3457;24,2622;23,7334;23,5202;23,4177;3,3832;0,00240389;-2,60731;-7,02986;+
O17218(71);20,1157;20,1899;20,8739;20,3023;19,5766;19,724;18,0352;18,9107;1,67669;0,0174564;1,30882;3,10237;+
O17218(19);19,5487;19,7085;21,4442;20,097;19,5053;18,5867;21,1158;20,8525;0,0917645;0,745137;0,184486;0,251887;
O17328(261);24,2105;25,6507;26,1563;23,7778;21,3836;19,7411;19,3269;21,7088;2,77116;0,00328492;4,40872;5,38122;+
O17328(359);25,9474;23,9757;23,8695;23,8954;21,6174;17,4062;20,022;20,2327;2,40149;0,00476395;4,60244;4,53184;+
O17328(372);21,229;21,0831;21,4953;21,6184;19,472;20,8017;19,0725;18,1165;1,88797;0,0122734;1,99079;3,49257;+
O17328(352);23,344;23,7306;24,2098;24,1977;21,7847;23,401;25,3113;23,5108;0,193412;0,536419;0,368596;0,491399;
O17328(257);20,8613;20,0853;20,961;21,585;21,4743;21,224;19,9284;20,3635;0,0967217;0,734845;0,125606;0,264362;
O17328(235);22,0661;20,1866;21,1578;21,1633;24,119;22,4391;26,0589;24,2064;1,98357;0,010445;-3,0624;-3,67554;+
O17389(45);20,8854;21,5569;20,0426;19,9803;20,8302;18,8137;20,2594;20,1488;0,482362;0,238796;0,603267;1,06144;
O17389(101);19,3296;20,3949;20,9258;21,3709;20,8447;21,2105;19,0956;19,4427;0,20887;0,510034;0,356929;0,525317;
O17389(80);21,6764;21,3014;21,4626;18,1197;21,1585;19,868;21,5911;20,8839;0,0933695;0,741984;-0,235352;-0,255936;
O17389(83);21,7197;20,7281;20,7019;19,265;19,867;20,5688;19,4982;20,5307;0,372267;0,320338;0,487499;0,856976;
O17389(38);23,6632;24,8566;24,1486;26,755;18,889;19,6983;18,773;18,8732;3,73411;0,00113475;5,79747;8,14249;+
O17390(102);20,0685;19,3409;20,8487;20,7536;19,3038;18,7301;20,2216;19,6572;0,823723;0,104364;0,774756;1,64986;
O17397(103);21,2298;20,9922;20,7357;21,3618;20,7963;20,5078;20,5956;20,584;1,64138;0,0183208;0,458941;3,03887;+
O17397(324);27,3577;26,611;25,8108;25,4068;26,2371;24,178;27,9395;25,7428;0,113837;0,69267;0,272247;0,306723;
O17397(7);21,7244;19,0666;21,2651;20,9446;18,0492;18,5292;20,8818;20,5412;0,652538;0,157438;1,24982;1,36048;
O17406(112);24,2529;24,7231;23,3152;23,1976;19,6308;19,6214;18,7924;21,4546;2,99467;0,00279669;3,99735;5,94488;+
O17406(113);22,0202;21,7694;23,3152;23,1938;19,0642;19,2397;18,4486;17,8087;3,59127;0,00145122;3,93431;7,67303;+
O17406(125);23,8191;26,0012;25,0613;24,5709;18,7172;20,6659;19,218;20,8219;3,44002;0,00213193;5,00736;7,20091;+
O17406(192);25,7349;23,2555;23,0403;23,1409;19,5209;19,5041;18,5106;21,4166;2,41561;0,00473673;4,05485;4,56256;+
O17406(126);21,5401;20,4795;21,8196;20,7381;20,8598;18,4308;18,3828;20,0228;1,32861;0,0338579;1,72025;2,49375;+
O17406(136);23,7213;22,5196;22,9373;23,2953;20,3207;19,6363;21,5245;17,7702;2,14966;0,00788104;3,30545;4,00419;+
O17406(104);23,4213;23,6529;23,1884;22,9455;21,3976;19,9522;20,2804;17,5458;2,27058;0,00599001;3,50804;4,25286;+
O17406(84);21,0605;20,919;20,1075;21,4335;20,058;18,9306;20,3899;20,9242;0,788662;0,1124;0,804453;1,59115;
O17524(75);21,4121;20,2773;21,7501;21,1525;19,7253;21,0808;20,2477;19,7687;1,10402;0,0545245;0,942387;2,11616;
O17599(170);21,9796;20,2121;21,3672;19,6554;21,3847;19,0972;18,9496;20,3983;0,49306;0,232569;0,846156;1,08075;
O17607(24);23,7047;24,5486;24,3001;24,788;20,5515;19,6692;20,2971;17,6988;3,36202;0,00245498;4,78119;6,96696;+
O17680(381);26,7625;21,5357;23,5271;23,2025;19,3649;21,4559;20,9493;19,4162;1,5326;0,0230268;3,46035;2,84597;+
O17682(193);20,8594;20,3871;19,4863;20,0769;19,4036;20,2589;18,0909;19,703;0,761236;0,120069;0,838299;1,54506;
O17687(194);25,7969;25,4907;26,5188;25,3004;25,957;25,213;23,1155;27,5752;0,120686;0,676828;0,311558;0,323381;
O17687(503);22,0965;20,4972;21,3969;21,1382;18,798;19,4988;18,6233;19,8831;2,47357;0,00449943;2,08137;4,69004;+
O17687(133);24,7472;25,1871;25,428;25,2466;22,5761;23,203;23,092;25,94;0,960825;0,0768303;1,44946;1,87812;
O17687(356);21,8936;19,2627;21,2859;20,9276;20,2235;20,9513;20,0714;20,3864;0,307229;0,380746;0,434286;0,729966;
O17687(460);22,9162;24,1685;26,6106;24,4761;25,1192;25,8877;26,5021;24,1321;0,416585;0,283881;-0,867434;-0,940658;
O17687(135);21,5407;21,5013;21,4096;21,5683;21,308;18,9397;19,553;18,4806;1,68544;0,0172397;1,93465;3,11817;+
O17687(394);20,6943;21,5478;21,3704;21,5676;26,0914;25,0945;24,7728;24,5459;4,14413;0,00125444;-3,83109;-9,6306;+
O17687(400);19,9651;20,1362;20,8035;21,0113;21,1346;20,9902;20,5151;21,0782;0,765894;0,11838;-0,450482;-1,5529;
O17687(375);20,856;21,0923;19,4191;21,3037;18,4573;21,891;20,4596;19,5396;0,286914;0,403672;0,580904;0,689082;
O17687(454);23,2348;18,5416;19,1413;20,4119;26,1345;25,8957;25,5317;24,9739;2,58432;0,00377451;-5,30155;-4,93989;+
O17687(239);20,2673;20,5352;21,5143;20,9523;23,9251;22,3842;23,0472;24,5851;2,52688;0,00402336;-2,6681;-4,80925;+
O17687(260);21,9399;19,9391;18,6293;20,3872;20,1172;18,9014;20,5317;20,8503;0,0540786;0,841295;0,123733;0,153654;
O17687(552);25,3542;25,4854;26,1232;25,4897;24,9447;25,7303;23,2472;25,6075;0,573401;0,191771;0,730709;1,22337;
O17687(15);19,2486;21,2499;20,515;21,7378;20,1602;19,8843;19,3038;20,2848;0,637796;0,162514;0,779559;1,33514;
O17687(20);21,5699;19,954;19,5602;20,9888;20,2981;19,2472;17,6725;19,5244;0,945515;0,0792377;1,33269;1,85269;
O17695(89);21,2948;19,7682;20,5482;20,3358;18,9515;21,4583;19,9653;19,8;0,305761;0,382102;0,442992;0,727032;
O17742(42);21,343;19,5841;20,5304;19,2559;24,1924;24,0344;22,9275;24,6422;3,13397;0,00265666;-3,77074;-6,31765;+
O17759(536);21,0974;20,0151;21,7458;20,226;20,2981;18,7067;20,4929;19,7633;0,846364;0,0997654;0,955829;1,68768;
O17759(259);21,7564;21,4436;21,4589;21,3925;20,4932;19,5976;20,0482;19,3565;3,0895;0,00260932;1,639;6,19676;+
O17773(198);19,4761;20,5475;20,2413;19,4595;20,9147;20,4768;19,0245;19,2711;0,00583617;0,981797;0,00932121;0,0174393;
O17785(263);24,5636;23,2372;23,1487;22,8407;19,354;20,7517;20,851;21,0948;2,7615;0,00325762;2,93467;5,35775;+
O17785(503);20,507;20,5359;21,452;20,3993;21,1574;20,5489;21,273;20,4512;0,160346;0,594422;-0,134045;-0,416866;
O17893(143);20,8794;21,2228;21,2071;21,2457;19,682;19,2375;20,6036;20,6827;1,61102;0,0195621;1,08733;2,98464;+
O17907(79);21,7229;21,2538;20,0263;20,9296;19,8679;21,6479;19,224;19,2738;0,711127;0,135451;0,979775;1,4604;
O17907(256);21,1601;19,343;21,1255;18,7102;19,3034;21,4265;21,1726;18,908;0,0460391;0,863342;-0,117942;-0,131845;
O17907(271);21,6396;20,7892;20,9705;20,5138;21,4277;21,1965;19,2713;19,7905;0,427815;0,276289;0,556751;0,961548;
O17907(272);20,9869;19,9446;21,1187;21,2892;22,5326;23,2459;22,804;23,1691;3,04791;0,00267128;-2,10304;-6,0853;+
O17914(143);26,0511;28,2505;26,6295;27,6245;22,7356;23,6659;21,9872;23,7528;3,14485;0,00253861;4,1035;6,34751;+
O17915(70);23,7224;21,8508;21,3345;21,6587;21,695;23,2445;22,7373;23,6123;0,449217;0,259887;-0,680694;-1,00104;
O17915(140);23,5612;25,6801;24,2973;24,1633;21,3621;20,0093;20,3176;19,3051;3,28688;0,00230277;4,17692;6,74742;+
O17915(141);23,5612;23,253;23,3243;24,0154;20,1585;18,6686;20,0386;20,4014;3,90298;0,00122667;3,72166;8,72902;+
O17919(45);23,7716;27,281;26,8652;27,3868;23,9638;23,6215;24,2487;22,4649;1,57165;0,0214356;2,75145;2,91476;+
O17921(37);25,0761;23,9034;23,94;25,3034;19,4225;16,5213;18,9031;20,5173;3,09378;0,00261871;5,71467;6,20831;+
O17921(58);24,2547;22,6435;23,9008;24,9761;24,6055;23,7469;23,7333;24,3036;0,106227;0,711891;-0,153558;-0,288021;
O17921(276);20,439;19,5727;21,5187;19,2217;19,7148;21,1218;20,2741;21,7768;0,332069;0,355211;-0,533842;-0,779133;
O17981(400);21,0716;21,0208;19,0994;21,1016;22,4873;24,3433;21,3338;25,249;1,47518;0,0257173;-2,78001;-2,74569;+
O18131(91);21,7521;19,8526;21,263;20,3591;21,6385;20,0222;18,1187;19,8865;0,483025;0,238342;0,89025;1,06264;
O18158(871);21,2562;20,9342;20,3759;19,9126;17,589;20,4532;19,8673;19,4402;0,954513;0,0779778;1,28228;1,86764;
O18158(1013);19,7124;19,8043;19,3445;18,0339;23,2509;23,1057;22,4984;26,1914;2,57684;0,00381045;-4,53779;-4,92273;+
O18188(69);20,9827;20,8215;19,9534;21,5856;21,6345;20,2048;20,8261;21,3706;0,142147;0,630709;-0,173169;-0,374568;
O18224(89);20,7622;20,6943;21,101;19,7631;24,7978;23,685;23,293;23,4559;3,46082;0,00187234;-3,2278;-7,26439;+
O18224(70);21,9194;21,3142;20,5795;19,3878;19,0361;19,6752;21,8507;19,2332;0,451849;0,258366;0,851438;1,00587;
O18229(76);21,8075;20,4498;20,3149;20,9867;19,7544;21,6149;21,3065;20,9192;0,00570143;0,981892;-0,00902271;-0,0170393;
O18240(54);20,5109;19,2817;21,2065;21,1283;20,2792;18,5157;21,6023;19,2335;0,330129;0,357144;0,624126;0,775323;
O18240(106);20,5439;21,3727;21,0327;20,8343;20,4847;17,6073;20,4783;21,029;0,627256;0,166879;1,04608;1,31697;
O18307(29);24,2308;24,6783;24,623;23,0586;23,7919;22,8823;23,7464;22,3862;0,948346;0,0789694;0,945978;1,85739;
O18307(30);24,2308;23,2096;23,7805;21,1186;24,5568;24,0337;23,8379;22,3862;0,314999;0,372237;-0,618818;-0,745439;
O18307(32);23,6587;23,9424;23,4066;24,8298;19,6377;20,1265;20,4631;18,6359;3,81316;0,00107393;4,24353;8,41265;+
O18307(44);21,9;19,7682;21,2705;21,6805;22,3605;21,8718;23,0069;20,8313;0,61699;0,171144;-0,862841;-1,29923;
O18307(22);21,2728;20,0206;20,7251;20,6649;18,0129;20,5562;20,3738;20,7127;0,50476;0,225671;0,756954;1,10178;
O18650(8);21,073;21,2535;21,762;20,907;17,9675;20,4512;19,5924;18,8438;1,95898;0,0109772;2,03515;3,62806;+
O18650(17);25,5345;25,7374;27,4698;26,4663;20,8027;21,021;21,2308;20,681;4,65412;0,00230303;5,36812;11,8188;+
O18650(109);21,9599;19,7898;18,9076;21,6871;19,6171;18,6347;17,814;19,5187;1,0252;0,0664058;1,68997;1,98503;
O18650(102);21,5957;18,922;20,9949;21,7282;21,7253;18,6511;19,5233;20,2021;0,37096;0,321677;0,784732;0,854476;
O18650(44);21,4547;21,3053;20,4255;21,3315;20,9354;18,7271;20,4008;20,0393;1,09172;0,0564322;1,1036;2,09567;
O18650(30);23,9831;20,7608;22,1275;21,9137;21,6997;20,8566;18,8344;20,5098;0,984048;0,0725936;1,72113;1,91669;
U4PF18(41);20,942;19,0879;20,29;19,4687;25,6247;25,1035;24,6418;24,0196;4,00755;0,00106;-4,90024;-9,11038;+
O44144(158);21,4224;21,4974;19,8071;21,2546;24,6346;23,8388;24,6662;24,9076;3,57161;0,00157143;-3,51647;-7,61025;+
O44145(182);20,8658;20,0864;21,6426;19,8454;26,8976;26,728;25,5861;22,5144;2,34418;0,00512266;-4,82146;-4,40841;+
O44154(182);21,3488;20,1012;21,5865;21,3585;19,0885;21,7206;18,6817;20,8497;0,602948;0,177164;1,0136;1,27489;
O44175(278);21,8094;21,1212;21,4926;21,0846;21,7986;21,6141;18,3001;20,9103;0,380627;0,313085;0,721149;0,872923;
V6CIR8(755);27,3199;22,4866;22,0352;22,4395;21,3716;18,2416;19,2249;20,1995;1,43769;0,027344;3,8109;2,68072;+
O44400(455);24,3623;22,8341;22,9033;23,182;25,8269;25,6286;23,8178;26,1482;1,73921;0,0158925;-2,03494;-3,21594;+
O44400(274);21,6474;19,0524;21,1495;21,6286;25,0967;24,5857;24,3964;25,084;3,05797;0,0026993;-3,92122;-6,11212;+
O44400(360);21,6347;21,0756;20,3613;20,3117;18,3241;20,3796;19,1965;19,9219;1,35194;0,0326228;1,39029;2,53349;+
U4PEY4(214);26,5553;23,7014;25,2153;25,4766;28,2624;27,4997;25,3112;28,2989;1,21359;0,0428969;-2,10591;-2,29938;+
O44441(46);21,1665;20,9267;20,4884;21,573;21,1178;20,5546;20,1813;21,652;0,15809;0,598501;0,162244;0,411674;
O44441(58);22,3655;21,237;20,2546;21,7218;19,9923;18,6174;19,5624;21,9276;0,828619;0,103437;1,36981;1,65805;
O44444(58);20,8673;19,9358;21,784;20,6086;20,5171;19,5365;21,089;20,7706;0,258365;0,439721;0,320623;0,630493;
O44445(60);21,5283;20,7597;21,6411;18,8253;20,3458;20,353;19,2984;20,4325;0,35523;0,334987;0,581196;0,824227;
O44445(112);25,5797;24,4158;24,8225;24,8983;23,4493;23,3724;21,2478;24,7368;1,19471;0,0449178;1,7275;2,2677;+
O44480(146);19,706;22,6276;21,3698;22,842;21,9405;20,5388;21,6558;19,917;0,303459;0,384622;0,623309;0,722427;
O44480(152);24,649;23,2137;24,4022;23,0071;18,0239;18,8821;20,2263;21,0756;2,76059;0,00324862;4,26606;5,35554;+
O44480(68);21,3755;20,78;21,19;19,8722;21,8729;23,504;22,759;21,0835;1,27682;0,0374218;-1,5004;-2,40593;+
O44480(73);25,1357;26,6413;26,6904;27,0885;25,7608;26,1542;25,5513;27,1887;0,153043;0,608809;0,225175;0,400009;
